Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
variable,AXD-MEN-ACD-CHR,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey,1,0,visible,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",0,,1399,1099,"Men's T-Shirts, Acid & Vintage Wash","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, charcoal grey",/images/men_acid_wash_tee.jpg,,Size,"S, M, L, XL, XXL",1,1,Color,Charcoal Grey,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-ACD-CHR-S,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey - S,1,0,visible,,,0,0,1399,1099,,,,AXD-MEN-ACD-CHR,Size,S,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-ACD-CHR-M,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey - M,1,0,visible,,,0,0,1399,1099,,,,AXD-MEN-ACD-CHR,Size,M,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-ACD-CHR-L,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey - L,1,0,visible,,,0,0,1399,1099,,,,AXD-MEN-ACD-CHR,Size,L,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-ACD-CHR-XL,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey - XL,1,0,visible,,,0,0,1399,1099,,,,AXD-MEN-ACD-CHR,Size,XL,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-ACD-CHR-XXL,AXDORO 240 GSM Acid Wash Mineral Street Tee - Charcoal Grey - XXL,1,0,visible,,,0,0,1399,1099,,,,AXD-MEN-ACD-CHR,Size,XXL,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-HLF-BRN,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown,1,1,visible,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1199,899,"Men's T-Shirts, Boxy Half Sleeve","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, mocha brown",https://images.unsplash.com/photo-1576566588028-4147f3842f27?auto=format&fit=crop&w=800&q=80,,Size,"XS, S, M, L, XL",1,1,Color,Mocha Brown,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-HLF-BRN-XS,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown - XS,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-HLF-BRN,Size,XS,0,1,Color,Mocha Brown,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-HLF-BRN-S,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown - S,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-HLF-BRN,Size,S,0,1,Color,Mocha Brown,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-HLF-BRN-M,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown - M,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-HLF-BRN,Size,M,0,1,Color,Mocha Brown,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-HLF-BRN-L,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown - L,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-HLF-BRN,Size,L,0,1,Color,Mocha Brown,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-HLF-BRN-XL,AXDORO Heavy Half Sleeve Minimalist Tee - Mocha Brown - XL,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-HLF-BRN,Size,XL,0,1,Color,Mocha Brown,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-OVR-BLU,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue,1,0,visible,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1299,999,"Men's T-Shirts, Oversized Tees","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, cobalt blue",/images/men_cobalt_tee.jpg,,Size,"S, M, L, XL, XXL",1,1,Color,Cobalt Blue,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-OVR-BLU-S,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue - S,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLU,Size,S,0,1,Color,Cobalt Blue,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLU-M,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue - M,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLU,Size,M,0,1,Color,Cobalt Blue,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLU-L,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue - L,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLU,Size,L,0,1,Color,Cobalt Blue,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLU-XL,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue - XL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLU,Size,XL,0,1,Color,Cobalt Blue,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-OVR-BLU-XXL,AXDORO 240 GSM Heavyweight Street Tee - Cobalt Blue - XXL,1,0,visible,,,1,25,1299,999,,,,AXD-MEN-OVR-BLU,Size,XXL,0,1,Color,Cobalt Blue,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-DRP-SND,AXDORO Drop-Shoulder Boxy Tee - Desert Sand,1,1,visible,AXDORO Drop-Shoulder Boxy Tee - Desert Sand. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Drop-Shoulder Boxy Tee - Desert Sand. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1199,899,"Men's T-Shirts, Boxy Half Sleeve","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, vintage off-white",/images/men_sand_tee.jpg,,Size,"M, L, XL, XXL",1,1,Color,Vintage Off-White,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-DRP-SND-M,AXDORO Drop-Shoulder Boxy Tee - Desert Sand - M,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-DRP-SND,Size,M,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-SND-L,AXDORO Drop-Shoulder Boxy Tee - Desert Sand - L,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-DRP-SND,Size,L,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-SND-XL,AXDORO Drop-Shoulder Boxy Tee - Desert Sand - XL,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-DRP-SND,Size,XL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-SND-XXL,AXDORO Drop-Shoulder Boxy Tee - Desert Sand - XXL,1,0,visible,,,1,25,1199,899,,,,AXD-MEN-DRP-SND,Size,XXL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-GRP-NOC,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black,1,1,visible,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Nocturnal Graphic Back-Print Tee - Deep Black. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",0,,1499,1199,"Men's T-Shirts, Graphic & Back-Print","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, jet black",/images/men_backprint_tee.jpg,,Size,"S, M, L, XL, XXL",1,1,Color,Jet Black,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-GRP-NOC-S,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black - S,1,0,visible,,,0,0,1499,1199,,,,AXD-MEN-GRP-NOC,Size,S,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-NOC-M,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black - M,1,0,visible,,,0,0,1499,1199,,,,AXD-MEN-GRP-NOC,Size,M,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-NOC-L,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black - L,1,0,visible,,,0,0,1499,1199,,,,AXD-MEN-GRP-NOC,Size,L,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-NOC-XL,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black - XL,1,0,visible,,,0,0,1499,1199,,,,AXD-MEN-GRP-NOC,Size,XL,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-NOC-XXL,AXDORO Nocturnal Graphic Back-Print Tee - Deep Black - XXL,1,0,visible,,,0,0,1499,1199,,,,AXD-MEN-GRP-NOC,Size,XXL,0,1,Color,Jet Black,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-GRP-BRT,AXDORO Brutalist Typography Heavy Tee - Bone White,1,0,visible,AXDORO Brutalist Typography Heavy Tee - Bone White. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Brutalist Typography Heavy Tee - Bone White. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1399,1099,"Men's T-Shirts, Graphic & Back-Print","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, vintage off-white",https://images.unsplash.com/photo-1527719327859-c6ce80353573?auto=format&fit=crop&w=800&q=80,,Size,"S, M, L, XL, XXL",1,1,Color,Vintage Off-White,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-GRP-BRT-S,AXDORO Brutalist Typography Heavy Tee - Bone White - S,1,0,visible,,,1,25,1399,1099,,,,AXD-MEN-GRP-BRT,Size,S,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-BRT-M,AXDORO Brutalist Typography Heavy Tee - Bone White - M,1,0,visible,,,1,25,1399,1099,,,,AXD-MEN-GRP-BRT,Size,M,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-BRT-L,AXDORO Brutalist Typography Heavy Tee - Bone White - L,1,0,visible,,,1,25,1399,1099,,,,AXD-MEN-GRP-BRT,Size,L,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-BRT-XL,AXDORO Brutalist Typography Heavy Tee - Bone White - XL,1,0,visible,,,1,25,1399,1099,,,,AXD-MEN-GRP-BRT,Size,XL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-GRP-BRT-XXL,AXDORO Brutalist Typography Heavy Tee - Bone White - XXL,1,0,visible,,,1,25,1399,1099,,,,AXD-MEN-GRP-BRT,Size,XXL,0,1,Color,Vintage Off-White,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-DRP-TER,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta,1,0,visible,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1249,949,"Men's T-Shirts, Boxy Half Sleeve","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, terracotta",/images/men_terracotta_tee.jpg,,Size,"S, M, L, XL",1,1,Color,Terracotta,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-DRP-TER-S,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta - S,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-DRP-TER,Size,S,0,1,Color,Terracotta,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-TER-M,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta - M,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-DRP-TER,Size,M,0,1,Color,Terracotta,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-TER-L,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta - L,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-DRP-TER,Size,L,0,1,Color,Terracotta,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-DRP-TER-XL,AXDORO Raw Edge Drop-Shoulder Heavy Tee - Terracotta - XL,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-DRP-TER,Size,XL,0,1,Color,Terracotta,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-PCK-GRY,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey,1,1,visible,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1249,949,"Men's T-Shirts, Heavy Plain & Pocket","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, charcoal grey",/images/men_pocket_tee.jpg,,Size,"S, M, L, XL, XXL",1,1,Color,Charcoal Grey,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-PCK-GRY-S,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey - S,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRY,Size,S,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-PCK-GRY-M,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey - M,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRY,Size,M,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-PCK-GRY-L,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey - L,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRY,Size,L,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-PCK-GRY-XL,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey - XL,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRY,Size,XL,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variation,AXD-MEN-PCK-GRY-XXL,AXDORO 240 GSM Heavy Chest-Pocket Crewneck Tee - Stone Grey - XXL,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRY,Size,XXL,0,1,Color,Charcoal Grey,0,1,Fabric,240 GSM Cotton,0,1
variable,AXD-MEN-PCK-GRN,AXDORO Heavyweight Chest-Pocket Street Tee - Forest Green,1,0,visible,AXDORO Heavyweight Chest-Pocket Street Tee - Forest Green. Crafted from premium 240 GSM combed cotton with structured masculine drape.,"<p>AXDORO Heavyweight Chest-Pocket Street Tee - Forest Green. Crafted from premium 240 GSM combed cotton with structured masculine drape.</p><p>Crafted from substantial 240 GSM heavyweight cotton. Engineered with relaxed masculine drop-shoulder silhouette, reinforced ribbed collar, and durable double-needle stitching.</p><ul><li>Fabric: 240 GSM Cotton</li><li>Fit: Men's Relaxed Streetwear</li><li>Care: Machine wash cold, dry flat in shade</li></ul>",1,,1249,949,"Men's T-Shirts, Heavy Plain & Pocket","menswear, men's t-shirts, 240 gsm, oversized, heavyweight, forest green",https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=800&q=80,,Size,"XS, S, M, L, XL, XXL",1,1,Color,Forest Green,1,1,Fabric,240 GSM Cotton,1,1
variation,AXD-MEN-PCK-GRN-XS,AXDORO Heavyweight Chest-Pocket Street Tee - Forest Green - XS,1,0,visible,,,1,25,1249,949,,,,AXD-MEN-PCK-GRN,Size,XS,0,1,Color,Forest Green,0,1,Fabric,240 GSM Cotton,0,1
